"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"KRS216+1","+0.30","+0.33","+1.79","+1.82","+0.34","+96.46","TMO‑Non","TMO‑Non","0.30","2.44","165.00","0.72","24.32","TMO‑Non","GUP‑Non"
"NUM852+1","+0.42","+0.37","1.75","+1.62","+0.31","+199.84","9.62","UNK‑Non","0.46","2.32","0.48","3.23","UNK‑Non","GUP‑Non","GUP‑Non"
"KRS189+1","+0.32","+0.32","1.93","+10.94","+0.24","+7.68","TMO‑Non","TMO‑Non","0.29","3.08","0.47","0.69","25.15","TMO‑Non","GUP‑Non"
"CSR058+4","+2.67","+5.51","+19.08","+23.47","+1.39","+11.38","+0.85","UNK‑Non","1.18","8.46","TMO‑Non","17.19","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL640+1.005","+0.52","+0.63","+3.28","+2.92","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.62","2.86","99.39","33.72","GUP‑Non","TMO‑Non","GUP‑Non"
"NUN086+2","+0.33","+0.37","+1.82","+1.60","0.24","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.13","0.51","0.58","0.95","GUP‑Non","GUP‑Non"
"LCL368+1*","+33.95","+5.26","+32.50","+9.87","+1.28","TMO‑Non","TMO‑Non","TMO‑Non","73.03","3.23","TMO‑Non","85.26","TMO‑Non","TMO‑Non","GUP‑Non"
"SWC386+1","+0.34","+0.40","1.82","+1.61","0.24","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.37","0.62","0.65","84.56","GUP‑Non","GUP‑Non"
"SYN353+1","+0.33","+0.39","+1.86","+1.61","+0.22","TMO‑Non","TMO‑Non","UNK‑Non","0.30","2.72","UNK‑Non","0.85","2.13","TMO‑Non","GUP‑Non"
"GEO278+1","+0.40","+0.49","3.31","+2.86","+0.24","+96.34","0.45","UNK‑Non","0.48","2.51","1.24","2.42","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR073+3","+0.51","+0.67","+6.69","16.34","+1.34","+2.64","+16.85","UNK‑Non","0.54","4.00","TMO‑Non","2.36","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV092+1","+0.31","+0.40","+1.85","+1.79","+0.31","TMO‑Non","TMO‑Non","UNK‑Non","0.37","3.20","0.56","0.84","3.15","GUP‑Non","GUP‑Non"
"LCL642+1.015","+0.47","+110.54","+2.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.45","TMO‑Non","99.01","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM925+3","+0.49","+1.32","+2.34","+4.95","+0.75","+132.69","+10.01","UNK‑Non","0.42","3.48","1.80","1.23","11.95","GUP‑Non","GUP‑Non"
"CSR062+3","+0.43","+0.57","+2.11","+5.18","+1.11","+96.28","+0.40","UNK‑Non","0.54","4.84","TMO‑Non","1.49","TMO‑Non","TMO‑Non","GUP‑Non"
"SET072+1","+0.33","+0.46","1.80","+1.62","+0.23","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.24","20.81","0.63","1.76","GUP‑Non","GUP‑Non"
"CSR033+3","+0.61","+0.60","+2.07","+11.20","+1.02","TMO‑Non","+3.63","UNK‑Non","0.56","4.00","TMO‑Non","73.16","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO499+1","+0.35","+0.40","+10.39","+11.40","+0.24","+178.39","+8.67","UNK‑Non","0.31","2.33","5.19","1.22","4.03","GUP‑Non","GUP‑Non"
"CSR027+3","+0.55","+0.58","+2.00","+6.83","+0.60","+157.91","+0.75","UNK‑Non","0.48","3.90","43.70","2.00","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW473+2","+0.50","+0.63","+6.89","1.65","+0.38","+26.30","+43.87","UNK‑Non","0.37","2.88","1.33","1.24","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR116+39","+0.47","+0.78","+72.73","+2.09","9.67","TMO‑Non","+2.43","UNK‑Non","0.56","3.03","32.30","7.24","TMO‑Non","UNK‑Non","GUP‑Non"
"SWV034+1","+0.31","+3.71","1.81","+22.75","0.30","TMO‑Non","TMO‑Non","+2.14","0.34","5.68","0.50","31.14","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR116+27","+0.53","+0.80","+66.33","+1.93","+13.32","TMO‑Non","+2.07","UNK‑Non","0.77","2.84","34.68","15.33","TMO‑Non","UNK‑Non","GUP‑Non"
"COM133+1","+0.33","+0.39","+9.81","+1.74","0.25","+32.56","TMO‑Non","UNK‑Non","0.31","2.35","0.86","0.62","UNK‑Non","GUP‑Non","GUP‑Non"
"KRS251+1","+0.33","+0.89","+1.72","TMO‑Non","0.66","+24.56","TMO‑Non","TMO‑Non","0.31","27.58","0.47","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW474+1","+0.38","+0.36","+2.29","+1.77","1.76","TMO‑Non","TMO‑Non","UNK‑Non","0.36","2.54","0.84","0.91","45.91","GUP‑Non","GUP‑Non"
"LCL642+1.010","+0.40","+58.41","+1.89","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.34","TMO‑Non","99.72","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SET017+1","+0.29","+0.36","1.84","+1.61","+0.23","TMO‑Non","TMO‑Non","UNK‑Non","0.30","2.32","1.39","0.68","4.55","GUP‑Non","GUP‑Non"
"CSR040+3","+0.57","+1.45","+16.19","+3.69","+0.66","TMO‑Non","TMO‑Non","UNK‑Non","0.57","5.06","TMO‑Non","16.40","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM856+1","+0.43","+0.62","2.24","+19.69","0.31","TMO‑Non","TMO‑Non","TMO‑Non","0.50","2.69","0.55","6.32","UNK‑Non","GUP‑Non","GUP‑Non"
"KRS261+1","+0.33","+0.40","+1.83","TMO‑Non","+1.06","+151.77","TMO‑Non","TMO‑Non","0.33","5.97","21.81","10.54","TMO‑Non","34.89","GUP‑Non"
"SCT131+1","+0.45","+0.81","4.39","5.61","69.91","+2.73","TMO‑Non","UNK‑Non","0.44","2.61","1.14","20.61","3.65","GUP‑Non","GUP‑Non"
"NUN085+1","+2.45","+0.89","+4.90","+4.77","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.71","11.41","165.90","UNK‑Non","22.57","TMO‑Non","GUP‑Non"
"ALG102+1","+0.37","+0.74","+2.34","+1.88","+1.71","TMO‑Non","TMO‑Non","GUP‑Non","0.45","3.18","0.70","9.34","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL369+1*","+25.37","+6.61","+107.08","+16.40","+2.66","TMO‑Non","TMO‑Non","TMO‑Non","147.84","5.40","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV055+1","+0.34","+0.39","+2.35","+1.76","0.29","TMO‑Non","TMO‑Non","UNK‑Non","0.41","2.67","0.58","2.49","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN066+1","+0.33","+46.66","+3.36","TMO‑Non","0.41","+0.33","+11.91","UNK‑Non","0.53","3.50","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV460+1","+0.34","+17.57","+1.78","+11.38","0.86","TMO‑Non","TMO‑Non","UNK‑Non","0.34","2.46","0.57","1.11","17.54","GUP‑Non","GUP‑Non"
"NLP260+1","+9.30","+14.50","+63.31","+55.96","TMO‑Non","+147.60","+6.79","UNK‑Non","16.16","20.26","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non"
"SWV374+1","+0.32","+0.43","+1.82","+1.76","0.24","TMO‑Non","TMO‑Non","TMO‑Non","0.32","2.34","0.49","0.68","UNK‑Non","GUP‑Non","GUP‑Non"
"NLP261+1","+9.47","+11.71","+63.64","+55.02","TMO‑Non","+96.27","+9.21","UNK‑Non","27.42","23.41","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non"
"SWV468+1","+0.32","+2.52","+1.74","30.58","+3.07","TMO‑Non","TMO‑Non","UNK‑Non","0.33","2.97","0.57","4.46","64.49","GUP‑Non","GUP‑Non"
"LCL390+1*","+144.59","+1.62","TMO‑Non","+7.29","+10.81","TMO‑Non","TMO‑Non","UNK‑Non","101.95","4.35","TMO‑Non","UNK‑Non","92.75","TMO‑Non","GUP‑Non"
"SCT146+1","+0.45","+0.56","+1.95","+3.12","+0.33","TMO‑Non","TMO‑Non","UNK‑Non","0.37","2.86","1.01","1.04","2.14","GUP‑Non","GUP‑Non"
"LCL383+1*","+22.99","+1.82","TMO‑Non","+11.08","+31.45","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","3.55","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"LCL895+1","+1.11","+11.15","4.26","TMO‑Non","+69.79","TMO‑Non","TMO‑Non","GUP‑Non","0.65","6.70","0.96","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL403+2*","+46.88","+39.94","TMO‑Non","+29.02","226.56","TMO‑Non","TMO‑Non","TMO‑Non","64.03","8.02","UNK‑Non","UNK‑Non","15.49","TMO‑Non","GUP‑Non"
"KLE170+1.002","+0.38","+0.79","+4.31","+8.65","+1.49","TMO‑Non","TMO‑Non","GUP‑Non","0.52","3.61","1.04","UNK‑Non","1.09","GUP‑Non","GUP‑Non"
"NLP262+1","+13.42","+13.34","+45.48","+53.78","TMO‑Non","TMO‑Non","+16.42","UNK‑Non","29.43","16.69","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non"
"GRP776+1","+0.35","+18.31","+23.92","+147.38","+0.43","TMO‑Non","TMO‑Non","UNK‑Non","0.47","2.29","0.53","4.07","8.47","GUP‑Non","GUP‑Non"
"LCL656+1.015","+1.10","+29.90","+3.24","+7.05","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.61","3.82","122.88","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO524+1","+0.31","+0.36","+1.82","+1.69","+0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.50","20.91","0.68","1.58","GUP‑Non","GUP‑Non"
"LCL390+2*","+48.59","+7.49","+142.05","+231.01","176.89","TMO‑Non","TMO‑Non","TMO‑Non","124.48","6.86","UNK‑Non","UNK‑Non","16.57","TMO‑Non","GUP‑Non"
"SWW102+1","+0.44","+0.43","2.29","+1.86","0.38","TMO‑Non","TMO‑Non","TMO‑Non","0.33","2.28","0.53","0.90","2.51","GUP‑Non","GUP‑Non"
"LCL374+1*","TMO‑Non","+7.22","TMO‑Non","+131.90","+82.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.82","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"ALG107+1","+0.48","+0.62","+1.80","+1.81","+0.68","TMO‑Non","TMO‑Non","GUP‑Non","0.40","2.80","0.65","5.52","9.29","GUP‑Non","GUP‑Non"
"LCL368+2*","+34.23","+138.76","+87.05","TMO‑Non","+144.03","TMO‑Non","TMO‑Non","TMO‑Non","18.94","5.40","UNK‑Non","63.14","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM479+2","+0.43","+0.41","+1.77","+1.76","+9.44","TMO‑Non","+33.11","UNK‑Non","0.37","2.29","0.56","0.77","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL365+2*","+4.10","TMO‑Non","+14.78","TMO‑Non","+1.09","TMO‑Non","TMO‑Non","UNK‑Non","19.83","3.07","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"CSR047+4","+0.89","+1.19","+3.87","+23.45","+0.99","+11.03","+0.85","UNK‑Non","1.54","6.66","33.61","21.28","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL660+1.020","+0.96","TMO‑Non","+4.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.51","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM924+7","+0.71","+1.31","+2.45","+17.99","+1.97","TMO‑Non","TMO‑Non","UNK‑Non","0.50","3.49","1.95","2.45","8.63","GUP‑Non","GUP‑Non"
"CSR036+3","+0.70","TMO‑Non","+25.78","+69.87","+31.63","+178.18","TMO‑Non","UNK‑Non","1.10","9.63","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV453+1","+0.31","+2.48","1.90","+3.24","0.71","TMO‑Non","TMO‑Non","TMO‑Non","0.33","2.31","1.00","51.29","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO168+1","+58.08","+149.69","+13.38","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.67","54.27","36.35","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV452+1","+0.32","+1.19","1.91","+3.25","0.44","TMO‑Non","TMO‑Non","UNK‑Non","0.29","2.30","0.59","49.05","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL660+1.015","+0.46","TMO‑Non","+3.38","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.44","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV457+1","+0.38","+0.50","+1.82","+3.11","1.12","TMO‑Non","TMO‑Non","UNK‑Non","0.36","3.29","0.66","2.05","1.28","GUP‑Non","GUP‑Non"
"LCL392+1*","+85.47","+2.20","TMO‑Non","+12.09","+59.68","TMO‑Non","TMO‑Non","TMO‑Non","159.63","3.33","TMO‑Non","UNK‑Non","217.30","TMO‑Non","GUP‑Non"
"SWV480+1","+0.35","+0.77","+2.83","145.18","0.81","TMO‑Non","TMO‑Non","UNK‑Non","0.39","4.31","0.84","4.07","55.82","GUP‑Non","GUP‑Non"
"LCL370+2*","+53.66","TMO‑Non","TMO‑Non","TMO‑Non","172.23","TMO‑Non","TMO‑Non","UNK‑Non","46.56","6.21","UNK‑Non","UNK‑Non","10.32","TMO‑Non","GUP‑Non"
"SWV451+1","+0.35","+4.42","+1.75","+195.37","+4.97","TMO‑Non","TMO‑Non","UNK‑Non","0.32","4.41","0.58","128.35","55.56","GUP‑Non","GUP‑Non"
"LCL392+2*","+55.43","+19.67","+176.17","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.81","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV479+1","+0.33","+0.73","+2.72","169.10","0.76","TMO‑Non","TMO‑Non","UNK‑Non","0.40","2.77","0.79","1.65","50.52","GUP‑Non","GUP‑Non"
"LCL373+2*","+122.68","TMO‑Non","TMO‑Non","TMO‑Non","173.38","TMO‑Non","TMO‑Non","UNK‑Non","29.30","21.47","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO299+1","+0.35","+0.53","1.83","+1.70","+0.27","TMO‑Non","111.25","UNK‑Non","0.28","3.22","0.73","2.60","UNK‑Non","GUP‑Non","GUP‑Non"
"BOO109+1","+0.78","TMO‑Non","64.55","TMO‑Non","6.41","TMO‑Non","TMO‑Non","TMO‑Non","0.66","133.63","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV449+1","+0.34","+0.43","+1.82","+2.90","+0.37","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.69","0.60","1.52","1.20","GUP‑Non","GUP‑Non"
"LCL377+1*","TMO‑Non","+4.46","TMO‑Non","+30.90","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","6.42","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO559+1","+0.79","+0.72","+11.42","+1.87","+0.50","TMO‑Non","TMO‑Non","UNK‑Non","0.79","2.34","TMO‑Non","2.36","4.30","GUP‑Non","GUP‑Non"
"LCL981+1*","+75.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","46.94","37.20","TMO‑Non","UNK‑Non","189.03","TMO‑Non","GUP‑Non"
"GEO300+1","+0.39","+0.48","1.86","+1.78","+0.31","TMO‑Non","115.40","UNK‑Non","0.35","2.50","0.77","2.76","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL062+1*","+196.26","+5.31","TMO‑Non","+23.81","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","7.89","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SCT147+1","+0.46","+0.50","+1.98","+3.20","+0.29","+58.91","+25.98","UNK‑Non","0.35","4.49","1.02","1.01","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL376+1*","TMO‑Non","+3.25","TMO‑Non","+12.29","+37.98","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.90","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW314+1","+0.77","+0.97","+4.21","+8.14","+0.92","+18.99","+0.98","UNK‑Non","0.65","7.03","6.95","1.60","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN056+1","+3.88","+148.77","TMO‑Non","TMO‑Non","24.07","TMO‑Non","TMO‑Non","UNK‑Non","1.04","26.91","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"LCL901+1","+0.42","+0.46","1.68","+1.70","+0.67","TMO‑Non","TMO‑Non","TMO‑Non","0.40","2.28","0.86","3.73","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL978+1*","+17.23","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.76","40.35","UNK‑Non","UNK‑Non","142.49","TMO‑Non","GUP‑Non"
"SWV476+1","+0.35","+0.68","+5.82","221.12","0.74","TMO‑Non","TMO‑Non","UNK‑Non","0.37","3.21","0.86","1.98","1.84","GUP‑Non","GUP‑Non"
"LCL688+1.005","+1.86","TMO‑Non","+185.65","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.92","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GRA007+2","+1.21","+0.48","+3.82","+1.87","0.31","TMO‑Non","TMO‑Non","UNK‑Non","0.55","2.41","2.92","0.85","61.80","GUP‑Non","GUP‑Non"
"LCL680+1.005","+2.57","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.18","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW342+1","+0.72","+1.36","+6.23","+9.12","+1.03","TMO‑Non","TMO‑Non","UNK‑Non","0.68","5.27","7.19","1.62","239.68","GUP‑Non","GUP‑Non"
"SYN986+1.004","+2.34","+69.59","+5.38","+52.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","5.51","140.70","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SET013+4","+0.32","+0.38","+1.77","+1.60","+0.24","+23.43","+0.43","UNK‑Non","0.28","2.26","0.43","7.64","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL383+2*","+100.88","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","118.62","7.22","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV053+1","+0.33","+0.40","+2.36","+10.59","0.27","TMO‑Non","TMO‑Non","UNK‑Non","0.33","2.74","0.57","2.71","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO167+1","+13.11","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.87","TMO‑Non","89.93","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW967+1","+0.32","+0.37","+1.77","+1.61","0.25","+0.42","+0.49","UNK‑Non","0.34","2.94","0.54","0.68","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL670+1.010","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.93","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO593+1","+0.56","+0.60","+5.87","+1.92","1.23","TMO‑Non","TMO‑Non","UNK‑Non","1.09","3.47","TMO‑Non","22.06","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN057+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","4.61","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO641+1","+0.48","+0.57","+3.94","+1.86","+0.42","TMO‑Non","TMO‑Non","UNK‑Non","0.81","2.47","TMO‑Non","5.85","23.90","GUP‑Non","GUP‑Non"
"LCL682+1.020","+3.32","TMO‑Non","+48.07","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.01","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW963+1","+0.30","+0.40","+1.81","+1.61","0.24","+1.50","+1.99","UNK‑Non","0.28","2.22","0.67","0.72","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL682+1.015","+3.01","TMO‑Non","+9.94","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.13","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO277+1","+0.78","+0.58","4.35","+1.75","+0.29","TMO‑Non","TMO‑Non","UNK‑Non","0.39","2.58","0.74","55.76","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL374+2*","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","69.09","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"PRO012+1","+0.66","+0.79","+6.33","+1.91","10.83","TMO‑Non","TMO‑Non","TMO‑Non","0.48","2.40","25.36","UNK‑Non","28.40","GUP‑Non","GUP‑Non"
"LCL394+2*","+135.25","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","9.07","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM841+2","+0.60","+0.37","1.81","+1.59","+2.52","TMO‑Non","222.99","UNK‑Non","0.62","2.50","0.79","1.66","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL109+1*","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO274+1","+0.47","+0.55","7.43","+1.72","+0.33","TMO‑Non","TMO‑Non","UNK‑Non","0.54","2.40","1.13","7.61","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL393+2*","+177.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.95","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"NUM925+7","+0.82","+0.97","+7.11","+2.08","+1.25","+222.19","TMO‑Non","UNK‑Non","0.58","3.04","1.97","14.42","12.36","GUP‑Non","GUP‑Non"
"NUN075+1","+82.13","+153.22","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","103.65","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWB097+1","+0.34","+11.71","+1.85","5.62","+5.75","+24.56","TMO‑Non","UNK‑Non","0.31","27.79","35.56","0.83","GUP‑Non","GUP‑Non","GUP‑Non"
"LCL876+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW956+1","+0.32","+0.38","+1.80","+1.61","+0.24","TMO‑Non","TMO‑Non","UNK‑Non","0.29","2.55","0.46","0.62","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN072+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non"
"SWW474+2","+0.49","+0.64","+4.36","+1.97","+1.13","TMO‑Non","TMO‑Non","UNK‑Non","0.83","2.93","3.37","18.70","20.71","GUP‑Non","GUP‑Non"
"GEO126+1","+0.31","+1.55","+1.74","+3.07","+0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.20","TMO‑Non","0.71","1.75","GUP‑Non","GUP‑Non"
"COM149+1","+0.40","+0.48","2.79","+13.30","0.43","+27.14","38.74","UNK‑Non","0.38","2.54","0.54","0.80","UNK‑Non","GUP‑Non","GUP‑Non"
"SET668+3","+0.38","+0.39","1.79","+1.62","+0.29","+82.77","TMO‑Non","TMO‑Non","0.41","4.16","71.40","2.28","1.00","GUP‑Non","GUP‑Non"
"ITP004+2","+0.39","+0.67","1.80","+1.83","0.85","TMO‑Non","TMO‑Non","UNK‑Non","0.33","2.45","3.60","16.06","1.82","GUP‑Non","GUP‑Non"
"COM130+1","+0.32","+0.39","1.86","+1.68","+0.28","TMO‑Non","216.51","UNK‑Non","0.29","2.48","0.53","0.78","UNK‑Non","GUP‑Non","GUP‑Non"
"SET649+3","+0.39","+0.65","2.33","+2.98","+1.03","+216.29","TMO‑Non","TMO‑Non","0.66","2.43","TMO‑Non","1.88","0.96","GUP‑Non","GUP‑Non"
"REL033+4","+34.56","+52.02","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","64.56","5.47","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO504+1","+0.33","+0.42","+1.82","+4.70","+0.48","+35.92","TMO‑Non","UNK‑Non","0.38","2.56","1.48","1.24","5.28","GUP‑Non","GUP‑Non"
"ITP006+1","+0.35","+2.03","+2.82","TMO‑Non","2.52","+1.23","+0.64","TMO‑Non","0.43","19.42","0.62","2.40","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO127+1","+0.33","+0.40","+1.74","+1.67","0.24","TMO‑Non","TMO‑Non","UNK‑Non","0.35","2.48","TMO‑Non","0.67","1.23","GUP‑Non","GUP‑Non"
"SWV473+1","+0.35","+2.54","1.78","TMO‑Non","+154.30","TMO‑Non","TMO‑Non","UNK‑Non","0.46","3.35","0.58","1.09","76.63","GUP‑Non","GUP‑Non"
"SWW238+1","+0.47","+0.77","+4.42","TMO‑Non","+0.64","TMO‑Non","TMO‑Non","UNK‑Non","0.49","3.23","1.29","4.18","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM337+1","+0.35","+0.48","+2.34","+72.30","+0.46","+24.23","+0.45","UNK‑Non","0.39","2.45","TMO‑Non","UNK‑Non","41.50","GUP‑Non","GUP‑Non"
"KLE132+1","+0.56","+0.50","+2.79","+1.63","+1.11","TMO‑Non","TMO‑Non","GUP‑Non","1.01","2.35","130.30","0.92","2.03","GUP‑Non","GUP‑Non"
