"problem","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"SEU761^1","+0.60","TMO‑Non","+11.80","0.55","1.00","1.47"
"SEV305^5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"AGT030^1","+0.43","+0.38","+5.50","0.38","3.94","UNK‑Non"
"GRA032^2","TMO‑Non","+0.49","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SYO024^1","+0.25","+0.35","+2.10","0.24","0.63","0.44"
"GRA043^1","TMO‑Non","+0.50","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU733^1","+0.57","+0.83","+7.16","0.59","2.89","1.21"
"ITP037^1","+0.35","+0.41","+8.44","0.35","0.87","UNK‑Non"
"SYO221^5","+0.27","+0.35","+1.67","0.27","0.67","0.50"
"SEU752^1","+0.58","+3.73","+13.76","0.45","2.60","1.55"
"PUZ140^1","+0.26","+0.39","+1.41","0.26","0.62","0.58"
"SET623^3","+0.31","+0.38","+2.80","0.30","0.63","0.45"
"SEU642^1","+0.53","+0.53","+4.95","0.52","1.02","1.02"
"SEU460^1","+0.28","+0.32","+1.58","0.28","0.64","0.48"
"AGT033^1","+0.38","+0.39","+1.82","0.28","0.80","135.35"
"SEU681^1","+8.68","+0.73","+5.65","9.26","19.24","1.96"
"SEU807^2","+1.17","+0.35","+1.52","0.87","0.84","121.28"
"CSR130^2","0.43","+0.37","+3.52","0.48","0.77","0.86"
"SEU751^1","+0.69","+1.17","+12.96","0.54","3.94","2.33"
"NUM696^1","+0.26","+0.37","+30.16","0.27","0.67","161.91"
"NUN023^2","+0.27","+0.37","+2.94","0.27","0.64","0.55"
"SEU680^2","+0.25","+0.41","+1.58","0.27","1.71","UNK‑Non"
"SYO555^1","+0.29","+0.38","+1.87","0.27","0.72","160.20"
"ITP146^1","+1.30","+0.43","+7.49","1.72","3.93","0.92"
"GEG007^1","+0.38","+0.36","+2.41","0.37","1.09","139.04"
"NUM417^1","+0.89","+0.37","+101.27","0.97","1.82","6.98"
"SEU821^1","+0.60","+0.71","+11.19","0.61","1.34","2.00"
"SET612^3","+0.27","+0.32","+2.08","0.27","0.64","0.46"
"SEU811^1","+1.57","+2.59","+25.55","1.56","22.96","26.93"
"GEG019^1","+0.49","+1.91","+9.52","0.52","12.56","161.23"
"SEU727^1","+0.85","+1.10","+9.40","0.58","0.90","1.35"
"SEU704^1","+12.94","TMO‑Non","TMO‑Non","2.13","10.03","7.53"
"GEG014^1","+0.37","+75.54","+18.31","0.36","7.08","153.32"
"ITP206^3","+4.86","+3.37","GUP‑Non","4.84","3.91","6.61"
"ITP206^1","+3.14","+2.52","GUP‑Non","4.75","2.95","6.70"
"CSR139^2","+0.29","+0.38","+2.37","0.27","0.65","137.63"
"SEU753^2","+0.37","+0.40","TMO‑Non","0.34","2.35","0.56"
"SEU945^5","+0.28","+0.31","TMO‑Non","0.26","0.66","0.70"
"SYO064^4.004","+12.35","+19.10","TMO‑Non","12.48","34.19","1.13"
"SEU643^2","+0.32","+0.39","+2.71","0.35","5.48","1.07"
"ITP133^1","+0.53","+0.47","+24.12","0.42","3.88","2.46"
"SEV129^5","+0.32","0.37","TMO‑Non","0.42","91.93","0.49"
"ITP026^1","+2.45","+0.76","+3.62","3.01","10.79","5.54"
"ITP044^1","+1.12","+0.46","+2.86","1.12","6.54","0.75"
"SEV128^5","+1.94","+0.91","TMO‑Non","1.90","7.21","0.49"
"SEU691^2","+0.40","+0.54","+3.14","0.36","1.69","0.52"
"CSR132^2","1.03","+0.41","TMO‑Non","1.42","3.73","126.15"
"SEV430^1","+0.26","+0.32","+1.53","0.26","0.81","UNK‑Non"
"SEU728^1","+0.54","+0.77","+11.20","0.70","0.87","1.31"
"ITP015^2","+109.98","+4.89","TMO‑Non","4.46","8.91","2.19"
"ITP201^1","+0.55","+0.51","+3.78","0.46","8.18","UNK‑Non"
"SEU702^1","+0.54","+0.55","+10.85","0.56","2.33","1.22"
"SEU593^2","+0.29","+0.37","+1.90","0.27","0.78","UNK‑Non"
"ITP198^1","+0.42","+0.50","TMO‑Non","0.40","1.00","TMO‑Non"
"SEU786^1","+0.66","239.91","+16.71","0.61","1.50","1.66"
"ITP151^1","+0.39","+0.50","TMO‑Non","0.38","4.49","121.30"
"ITP178^1","+0.59","+0.49","TMO‑Non","0.52","2.51","UNK‑Non"
"ITP111^1","+0.80","+1.16","TMO‑Non","0.55","0.83","0.54"
"SEU639^2","+0.43","+5.94","+1.74","0.35","4.06","129.22"
"SEU757^2","+0.38","+0.37","TMO‑Non","0.32","4.50","0.56"
"GEG010^1","+0.39","+0.40","+3.73","0.48","5.11","UNK‑Non"
"ITP098^1","+0.34","+0.44","+3.41","0.37","4.20","UNK‑Non"
"SEU797^1","+0.81","1.19","+26.54","0.62","1.82","1.79"
"ITP074^1","+0.50","+0.49","TMO‑Non","0.44","3.93","0.68"
"SEV010^5","+0.41","+20.62","TMO‑Non","0.35","3.45","36.64"
"SEU675^1","+1.03","+0.86","TMO‑Non","1.00","8.10","1.20"
"SET002^4","+0.42","+0.82","+91.52","0.50","5.37","0.54"
"SEU688^1","+0.57","+32.54","TMO‑Non","0.51","0.86","1.28"
"SEU631^1","+3.62","+0.75","TMO‑Non","3.63","4.44","1.11"
"NUM814^5","+0.32","+0.36","+9.77","0.33","0.81","UNK‑Non"
"SEU705^1","TMO‑Non","+14.92","+6.85","61.98","35.15","1.31"
"ALG276^5","+6.90","+0.61","+2.25","16.02","1.11","TMO‑Non"
"SEV124^5","+0.26","0.39","TMO‑Non","0.28","2.38","0.53"
"SEV432^1","+0.26","+0.35","+1.59","0.27","0.63","5.66"
"SEU708^1","+5.11","+0.90","+9.99","16.06","1.24","1.20"
"SEU657^1","+2.48","+0.53","+4.52","3.05","2.67","1.00"
"SEV208^5","+5.21","+0.44","+6.26","3.48","13.96","120.67"
"SEU603^1","+0.56","+239.98","+4.75","0.77","3.52","0.80"
"SYO067^4.002","+45.82","+2.86","+22.59","98.65","7.91","2.45"
"NUM766^1","+0.52","+0.44","+3.35","0.51","1.41","2.82"
"ALG267^2","+0.32","+0.38","+1.74","0.31","0.61","0.66"
"SEU637^2","+0.37","+36.26","+2.35","0.33","4.61","128.80"
"MSC007^1.003.004","+0.38","+0.59","+2.87","0.36","19.78","1.20"
"CSR150^2","+0.36","+0.40","+1.63","0.36","0.87","UNK‑Non"
"SEU764^1","+1.34","+0.98","TMO‑Non","1.91","23.56","1.71"
"ALG251^2","+0.46","+0.45","+2.46","0.48","4.58","UNK‑Non"
"NUM636^1","+0.47","+0.32","+3.47","0.50","1.20","UNK‑Non"
"GEG003^1","+0.80","+1.16","TMO‑Non","0.51","14.93","1.66"
"SYO062^4.003","+9.36","+0.40","+2.12","8.42","1.88","158.44"
"ITP084^1","+0.99","+0.43","TMO‑Non","1.03","4.37","0.83"
"ITP150^1","+0.98","+74.73","+8.20","1.03","5.14","1.04"
"ITP070^1","+0.36","+0.56","TMO‑Non","0.37","9.11","0.74"
"SEV037^5","+0.42","TMO‑Non","+8.53","0.56","1.32","0.59"
"SWW470^1","+0.66","0.39","+4.07","0.67","3.36","0.60"
"SWV433^2","+1.35","+3.35","TMO‑Non","0.45","111.89","UNK‑Non"
"SWV097^7","+0.70","TMO‑Non","+12.28","0.55","6.44","UNK‑Non"
"SEU773^1","+234.98","TMO‑Non","TMO‑Non","TMO‑Non","23.76","1.77"
"SEU630^1","+0.95","+15.44","TMO‑Non","0.91","5.27","0.93"
"ITP018^4","39.63","+14.43","+28.79","30.14","29.73","TMO‑Non"
"ITP216^3","+5.02","+6.86","UNK‑Non","10.26","UNK‑Non","144.32"
"ALG247^2","+0.35","TMO‑Non","+2.57","0.34","0.69","1.31"
"PHI008^4","+0.38","+0.34","+20.37","0.28","0.72","UNK‑Non"
"CSR144^2","+0.49","+0.50","+25.05","0.59","2.45","178.07"
"ITP010^4","+30.73","+10.99","TMO‑Non","30.93","8.70","22.00"
"CSR133^2","0.51","+0.37","+6.65","0.53","0.94","UNK‑Non"
"ITP272^3","+13.09","+46.66","UNK‑Non","14.81","UNK‑Non","TMO‑Non"
"NUM736^4","+0.56","+0.44","TMO‑Non","0.57","1.51","UNK‑Non"
"SYO063^4","+0.59","TMO‑Non","TMO‑Non","1.55","9.67","TMO‑Non"
"NUM639^4","+0.40","+0.37","TMO‑Non","0.42","0.95","14.83"
"SET557^1","+0.29","+0.37","+1.97","0.27","0.65","1.29"
"SYO208^5","+0.37","+0.33","+2.14","0.34","0.78","1.37"
"SYO516^1","+0.25","+0.32","+2.15","0.26","0.63","UNK‑Non"
"ITP205^1","+4.51","+0.43","+8.28","4.34","4.05","UNK‑Non"
"ITP147^1","+0.38","+132.38","TMO‑Non","0.46","14.62","0.73"
"SEU779^1","+4.11","+1.33","TMO‑Non","5.96","38.09","1.71"
"ALG294^5","+8.25","TMO‑Non","TMO‑Non","0.37","65.64","TMO‑Non"
"SWW474^3","+2.79","+1.07","+50.76","3.75","6.22","122.69"
"SEU653^1","+10.02","+2.07","TMO‑Non","16.74","1.07","0.98"
"ITP192^1","+10.11","+46.24","TMO‑Non","15.96","0.99","0.92"
"ITP236^3","+4.56","+4.09","UNK‑Non","5.01","UNK‑Non","17.23"
"ITP122^1","+1.40","+3.20","TMO‑Non","1.12","5.23","123.21"
"ITP120^1","+1.04","+0.40","+6.37","2.34","3.57","121.90"
"NUM768^1","+1.61","+89.08","+5.97","34.53","1.21","TMO‑Non"
"SEV267^5","+3.63","+0.37","TMO‑Non","6.26","6.89","120.83"
"SEU610^1","+6.84","+4.23","+4.40","10.56","8.78","2.44"
"SYO222^5","+0.26","+0.40","+18.22","0.26","0.81","UNK‑Non"
"ITP015^1","+0.59","+0.42","+2.83","0.59","1.29","0.72"
"ITP093^1","+0.44","+0.49","TMO‑Non","0.44","0.67","0.83"
"ITP004^1","+0.45","+0.37","+4.16","0.48","0.88","0.53"
"KRS272^7","+1.47","+22.02","+8.51","0.90","10.07","TMO‑Non"
"NUM641^4","+0.52","+0.42","TMO‑Non","0.45","1.17","18.25"
"ITP006^1","+0.43","+0.41","+4.86","0.39","0.79","0.68"
"SYO852^1","+0.49","+14.34","TMO‑Non","0.48","3.76","141.45"
"ITP019^5","+29.80","+10.25","TMO‑Non","21.26","7.01","TMO‑Non"
"ITP257^1","+8.56","+14.22","UNK‑Non","8.88","UNK‑Non","TMO‑Non"
"ITP012^4","+37.10","+34.93","+6.51","38.95","12.91","TMO‑Non"
"ITP216^1","+8.47","+4.25","UNK‑Non","8.57","UNK‑Non","144.55"
"SEV190^5","+0.35","+0.39","+20.21","0.37","1.36","UNK‑Non"
"SEU612^1","+0.86","+0.48","+38.30","5.09","16.93","0.83"
"SEV210^5","+15.03","+0.44","TMO‑Non","15.38","15.79","120.79"
"ITP137^1","+0.48","+0.41","TMO‑Non","0.72","8.00","137.94"
"SYO246^5","+0.36","+0.38","TMO‑Non","0.34","3.93","UNK‑Non"
"ITP021^1","+1.32","+0.51","TMO‑Non","1.35","4.44","122.07"
"ITP269^1","+4.98","+6.39","UNK‑Non","5.36","UNK‑Non","11.53"
"SEV524^1","TMO‑Non","+7.15","TMO‑Non","23.02","119.17","UNK‑Non"
"LCL950^17","+4.20","+213.78","TMO‑Non","1.88","UNK‑Non","UNK‑Non"
"SEU634^1","+45.79","TMO‑Non","TMO‑Non","2.43","8.84","1.25"
"ITP219^1","+2.76","+2.26","UNK‑Non","2.81","UNK‑Non","129.31"
"NUM642^4","+0.46","+0.42","TMO‑Non","0.41","1.26","37.32"
"SEU466^1","+0.35","TMO‑Non","TMO‑Non","0.33","6.85","0.65"
"ALG267^1","+0.52","+0.40","+2.36","0.49","0.78","TMO‑Non"
"SEU780^1","+17.04","+3.50","TMO‑Non","19.72","87.47","38.42"
"NUM708^4","+0.68","+0.44","TMO‑Non","0.60","1.11","UNK‑Non"
"ITP234^3","+3.93","+4.77","UNK‑Non","4.95","UNK‑Non","12.10"
"ITP262^1","+9.00","+19.30","UNK‑Non","8.60","UNK‑Non","TMO‑Non"
"NUM647^4","+1.12","+0.44","TMO‑Non","2.23","16.74","39.56"
"ITP219^3","+3.65","+3.11","UNK‑Non","2.39","UNK‑Non","130.11"
"ITP270^1","+10.80","+21.14","TMO‑Non","18.06","21.15","TMO‑Non"
"ITP222^3","+4.43","+7.43","UNK‑Non","4.69","UNK‑Non","11.62"
"NUM658^4","+0.58","+0.49","TMO‑Non","0.63","4.87","60.51"
"SEU968^5","+1.38","+0.41","+8.17","1.48","161.68","UNK‑Non"
"ITP225^1","+6.48","+8.83","UNK‑Non","4.47","UNK‑Non","TMO‑Non"
"ITP214^1","+5.66","+8.32","UNK‑Non","5.77","UNK‑Non","14.19"
"ANA126^1","+0.34","+0.35","+6.36","0.31","0.90","UNK‑Non"
"SEV041^5","+0.52","TMO‑Non","TMO‑Non","1.48","2.35","0.80"
"NUM654^4","+50.47","+0.47","TMO‑Non","59.30","1.81","52.99"
"SEU972^5","+2.65","+0.38","+89.14","0.99","8.78","UNK‑Non"
"ITP225^3","+4.55","+8.79","UNK‑Non","7.23","UNK‑Non","TMO‑Non"
"ITP020^2","+0.29","+0.60","+2.59","0.30","17.05","UNK‑Non"
"ITP214^3","+5.44","+9.05","UNK‑Non","8.42","UNK‑Non","14.97"
"SYO244^5","+0.29","+0.37","TMO‑Non","0.27","3.85","UNK‑Non"
"SEU690^1","+9.89","TMO‑Non","TMO‑Non","29.03","TMO‑Non","1.97"
"SEU668^1","+4.07","0.54","TMO‑Non","4.15","111.85","2.54"
"ITP129^1","+6.00","+131.70","TMO‑Non","6.07","29.60","1.76"
"SEU600^2","+5.49","+0.54","+88.46","8.58","UNK‑Non","166.00"
"SWV445^1","+0.88","+0.38","TMO‑Non","0.71","106.40","UNK‑Non"
"NUM728^4","+2.28","+0.72","TMO‑Non","2.18","8.98","UNK‑Non"
"ANA127^1","+0.32","+0.38","+4.84","0.30","2.23","UNK‑Non"
"PUZ087^2","TMO‑Non","+0.49","+22.66","61.52","22.82","UNK‑Non"
"ITP005^5","+4.79","+2.03","TMO‑Non","6.32","7.74","TMO‑Non"
"NUM699^4","+2.30","+0.38","TMO‑Non","3.31","6.88","UNK‑Non"
"SEU715^1","+2.80","+16.13","TMO‑Non","2.87","12.77","UNK‑Non"
"NLP004^13","+3.01","+0.57","TMO‑Non","1.76","12.70","1.17"
"NUM787^4","+14.39","+0.99","TMO‑Non","14.84","15.00","UNK‑Non"
"ITP234^1","+5.50","+5.21","UNK‑Non","3.88","UNK‑Non","13.58"
"NUM750^4","+45.57","+0.49","TMO‑Non","38.67","12.88","UNK‑Non"
"SEV141^5","+0.67","TMO‑Non","TMO‑Non","0.50","UNK‑Non","42.42"
