"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Zipperpin 2.1.9999","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","VIP 1.718","SATResetCoP 1.0","SPASS‑SCL 0.1.1"
"MGT090+1*","+1.45","+0.45","+0.40","+1.01","+1.13","UNK","+2.92","+0.85","+0.38","+0.41","+5.00","+0.45","+0.39","+2.56","UNK","+22.23","GUP"
"COM008+1","+3.81","+2.48","+0.52","+0.54","+1.17","+110.80","+23.66","+68.45","+9.51","+28.13","GUP","UNK","GUP","TMO","+114.80","UNK","TMO"
"MGT082+1*","+1.42","+0.50","+0.40","+0.54","+1.25","UNK","+2.15","+1.26","+0.37","+0.41","+4.00","+0.57","+0.39","+116.17","UNK","+15.54","GUP"
"KRS216+1","+1.50","+0.45","+0.42","+115.46","+1.24","+0.53","+7.13","+0.90","+8.11","+82.18","TMO","+57.40","UNK","+78.16","TMO","UNK","TMO"
"MGT080+1*","+1.50","+0.57","+0.40","+0.48","+1.07","UNK","+2.32","+0.92","+0.47","+0.47","+4.59","+1.72","+0.47","+152.84","UNK","UNK","GUP"
"CSR114+8","+1.74","+0.96","+0.63","+1.50","+55.15","+3.66","+11.01","UNK","+0.65","TMO","GUP","TMO","UNK","+39.60","TMO","UNK","TMO"
"MGT076+1*","+1.45","+0.47","+0.67","+82.51","+1.23","UNK","+1.78","+0.93","+0.47","+0.48","+3.35","+0.41","+0.41","+1.39","UNK","+3.15","GUP"
"CSR048+3","+2.22","+0.70","+0.81","+0.65","+1.28","+0.84","+7.52","+2.02","+0.42","TMO","+24.47","+0.85","+7.14","+20.83","TMO","UNK","+6.83"
"SWX200+1*","+1.43","+0.50","+0.42","+0.52","+1.23","+0.45","+1.62","+0.68","+0.38","+0.39","+3.54","+0.38","+0.38","+73.99","+0.41","+45.83","GUP"
"KRS190+1","+1.38","+0.46","+0.45","+0.52","+1.35","+0.42","+10.24","+0.86","+0.49","+0.84","+2.94","UNK","+0.52","+19.24","+0.48","UNK","+4.93"
"MGT088+1*","+1.73","+0.56","+0.34","+0.44","+1.47","UNK","+1.95","+0.68","+0.39","+0.49","+4.75","+0.48","+0.42","+7.21","UNK","+123.38","GUP"
"CSR058+3","+2.22","+1.37","+1.38","+1.30","+3.32","+0.54","+6.12","+2.69","TMO","TMO","+62.66","+1.02","+18.14","+16.72","+50.38","+62.37","+0.95"
"MGT078+1*","+1.00","+0.46","+0.44","+0.50","+1.07","UNK","+2.08","+0.89","+0.49","+0.43","+5.07","+0.41","+0.40","+21.46","UNK","+6.13","GUP"
"CSR113+13","+2.65","+0.64","+1.18","+0.88","+56.93","+2.93","+20.54","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO"
"GEO111+1","+0.92","+0.47","+0.42","+0.56","+1.15","+0.60","+4.19","+0.89","+0.47","+0.89","TMO","+0.84","UNK","TMO","TMO","UNK","GUP"
"CSR116+10","+1.77","+0.80","+0.99","+1.24","+49.55","+113.44","+9.72","+9.21","+1.80","TMO","GUP","UNK","UNK","TMO","TMO","UNK","TMO"
"GEO085+1","+1.62","+0.51","+0.49","+0.58","+1.20","+0.44","+2.76","+0.85","+0.55","+0.48","+1.62","+0.46","+2.38","+0.58","+61.29","UNK","GUP"
"CSR042+3","+1.84","+0.69","+1.03","+0.75","+4.36","+0.80","+7.40","+2.13","+0.48","TMO","+32.57","+0.85","+6.94","+15.92","TMO","UNK","+2.41"
"GEO117+1","+2.11","+0.52","+0.51","+0.97","+1.32","+0.46","+3.37","+0.86","+0.48","+0.52","+1.58","+0.70","+0.46","+72.46","+49.29","+156.31","GUP"
"NUN080+1","+1.38","+0.52","+0.48","+0.64","+1.33","+0.42","+1.80","+1.33","+0.43","+0.47","+1.95","+0.47","+0.45","+0.51","TMO","+164.15","TMO"
"GRA005+1","+2.33","+0.51","+0.48","+0.61","+1.45","+0.47","+1.99","+0.93","+0.41","+0.47","+1.60","+0.36","+0.99","+73.16","TMO","UNK","GUP"
"CSR044+3","+1.04","+0.64","+0.59","+0.82","+1.32","+2.83","+8.09","+3.53","+0.47","TMO","+40.65","UNK","+13.87","TMO","TMO","UNK","TMO"
"NLP147+1","+1.29","+0.58","+0.46","+0.55","+1.08","+0.40","+3.59","+0.83","+0.42","UNK","+1.08","+0.54","+5.91","TMO","+34.06","UNK","GUP"
"KRS262+1","+1.33","+0.47","+0.41","+0.60","+1.36","+0.41","+4.26","+0.94","+0.46","+0.55","+1.55","+0.65","UNK","+18.40","+0.47","UNK","TMO"
"ALG040+1","+1.51","+0.45","+0.36","+0.54","+1.30","+0.38","+2.65","+0.80","+0.50","+0.41","+2.23","+0.86","UNK","TMO","TMO","UNK","GUP"
"CSR116+13","+1.63","+0.60","+0.96","+0.92","+51.88","+11.70","+8.64","+4.92","+1.47","TMO","GUP","TMO","TMO","TMO","TMO","UNK","TMO"
"LCL484+1","+0.86","+0.43","+0.49","+0.38","+1.33","+0.30","+3.09","+0.97","+0.34","+0.38","+2.96","+0.38","GUP","+1.63","+0.32","UNK","GUP"
"KRS192+1","+1.22","+0.52","+0.44","+115.51","+1.13","+0.40","TMO","+0.57","+98.36","+75.44","TMO","UNK","+3.27","+28.31","+0.52","UNK","TMO"
"NUM840+1","+1.23","+0.45","+0.49","+0.51","+1.39","+0.38","+6.31","+0.86","+0.42","+2.08","+26.23","+3.04","+2.28","+18.70","TMO","+8.09","GUP"
"KRS195+1","+1.10","+0.47","+0.34","+0.70","+1.26","+0.37","+11.06","+0.80","+0.49","+0.49","+6.74","UNK","+0.59","+1.60","+0.48","UNK","+7.57"
"SWV488+3","+1.47","+0.43","+0.40","+0.49","+1.26","+0.42","+3.40","+0.95","+0.37","+0.39","TMO","+0.46","+0.37","+22.37","TMO","UNK","GUP"
"CSR113+30","+2.73","+1.27","+0.84","+0.93","+59.98","+2.29","+20.60","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO"
"SET101+1","+1.52","+0.48","+0.51","+0.50","+1.62","+0.49","+3.47","+4.20","+0.38","+0.50","+21.54","UNK","+0.71","+75.45","TMO","UNK","GUP"
"CSR052+3","+1.64","+0.62","+0.94","+0.91","+1.05","+2.79","+14.86","+27.33","TMO","TMO","+27.50","+1.57","+6.54","+132.85","TMO","UNK","TMO"
"SYN077+1","+1.82","+0.43","+0.41","+0.49","+1.05","+0.37","+1.74","+0.76","+0.36","+0.38","+2.57","+0.52","UNK","+46.50","TMO","+73.13","GUP"
"CSR045+3","+4.77","+0.63","+1.51","+4.71","+22.46","+2.07","+10.36","+3.50","GUP","TMO","TMO","+1.63","+6.77","TMO","TMO","UNK","TMO"
"NUM853+2","+1.24","+0.54","+0.60","+0.54","+1.35","+0.38","+7.71","+2.44","+0.53","+1.45","+20.66","+6.09","+0.80","+10.78","TMO","+9.34","GUP"
"CSR113+4","+2.73","+0.73","+0.84","+0.92","+52.78","+1.67","+12.62","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWX185+1*","+8.54","+1.30","TMO","UNK","+6.32","+64.55","+8.53","+132.92","+1.91","+2.45","+7.50","TMO","UNK","TMO","TMO","UNK","GUP"
"SWV014+1","+1.54","+0.42","+0.42","+0.57","+1.25","+0.42","+1.99","+0.75","+0.77","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"MGT077+1*","+1.45","+0.44","+0.42","+0.49","+1.23","UNK","+1.88","+0.86","+0.53","+0.52","+9.02","+0.62","+0.70","+72.47","UNK","+43.94","GUP"
"KRS187+1","+1.33","+0.43","+0.48","+0.50","+1.24","+0.43","+20.42","+0.85","+0.53","+0.63","+4.84","UNK","+0.39","+19.09","+0.47","UNK","+4.90"
"MGT079+1*","+1.08","+0.47","+0.43","+0.50","+1.23","UNK","+4.86","+0.80","+0.74","+9.62","+4.86","+15.07","+0.50","TMO","UNK","UNK","GUP"
"GEO260+1","+1.89","+0.54","+0.41","+0.69","+1.34","+0.83","+12.91","+2.47","+0.40","+0.39","TMO","+0.56","+4.86","+38.04","TMO","+123.27","+0.49"
"MGT086+1*","+1.30","+0.47","+0.34","+0.51","+1.22","UNK","+2.59","+0.71","+0.43","+0.43","+3.20","+1.03","+0.52","+149.44","UNK","UNK","GUP"
"KRS251+1","+0.89","+0.46","+21.22","+1.92","+1.83","+0.65","TMO","UNK","TMO","TMO","TMO","UNK","UNK","+90.40","TMO","UNK","TMO"
"SEV608+1*","+2.63","+0.94","+0.97","+0.63","+3.23","+118.50","+11.22","+2.26","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"KRS234+1","+1.44","+0.59","+0.41","+0.50","+0.94","+0.45","+4.43","+0.88","+0.59","+0.88","+7.37","UNK","+1.45","+18.49","+8.74","UNK","TMO"
"MGT085+1*","+1.35","+0.44","+0.45","+0.50","+1.14","UNK","+5.98","+1.43","+0.52","+0.40","+4.73","+16.73","+0.70","+90.40","UNK","+46.15","GUP"
"CSR054+3","+1.51","+0.56","+0.93","+0.69","+2.67","+0.74","+11.12","+2.11","+0.34","TMO","+47.55","+5.94","+12.33","+47.48","TMO","UNK","+0.67"
"SEV644+1*","+3.16","+1.07","+0.83","+0.78","+2.43","TMO","+9.61","+1.79","TMO","TMO","TMO","TMO","+7.26","TMO","TMO","UNK","GUP"
"CSR115+8","+1.44","+0.78","+1.38","+1.06","+2.46","+19.86","+9.26","+4.24","+0.71","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"PUZ133+1","+1.73","+0.61","+2.65","+1.80","+4.93","+0.77","+37.53","UNK","+0.59","+0.62","+66.18","UNK","UNK","TMO","TMO","UNK","GUP"
"SYO605+1","+1.17","+0.46","+2.25","+0.85","+3.20","TMO","+5.20","UNK","TMO","TMO","GUP","+0.88","UNK","+6.94","TMO","UNK","TMO"
"SWV406+1","+2.03","+0.56","+0.43","+0.59","+1.15","+0.39","+4.79","+44.36","+29.48","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL688+1.001","+2.69","+0.84","+4.84","+0.76","+1.67","+0.62","+9.68","+10.25","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWV390+1","+1.49","+0.65","+0.51","+0.48","+1.38","+0.51","+2.08","+1.32","+0.47","+0.49","+18.06","+3.34","+5.43","TMO","TMO","UNK","GUP"
"CSR056+3","+1.67","+0.89","+0.61","+0.73","+18.98","+1.28","+9.11","+2.09","GUP","TMO","+40.71","+20.19","+8.34","TMO","TMO","UNK","TMO"
"CSR021+1","+2.39","+0.57","+0.42","+0.64","+1.39","+0.66","+3.04","+0.91","+0.53","+4.71","+2.34","+44.88","+0.41","TMO","TMO","UNK","GUP"
"CSR067+3","+1.64","+0.64","+0.55","+0.57","+1.23","+1.28","+4.61","+2.12","+0.43","TMO","+30.76","+0.79","+7.16","+45.48","TMO","UNK","+2.30"
"CSR022+1","+1.75","+0.54","+0.44","+3.17","+1.28","+0.40","+5.88","+1.22","+0.60","+6.21","+3.88","+20.25","+0.41","TMO","+173.90","UNK","GUP"
"KRS233+1","+1.36","+0.53","+10.04","+0.79","+1.52","+0.40","TMO","+1.96","+4.54","+4.54","TMO","UNK","+10.55","+23.44","+5.99","UNK","TMO"
"GEO498+1","+1.65","+0.43","+0.40","+0.49","+1.05","+0.43","+3.06","+0.54","+0.40","+0.45","+3.86","+0.37","UNK","TMO","+31.90","UNK","GUP"
"NUN054+1","+2.15","+1.18","+0.65","+0.52","+1.89","+3.54","+2.38","+15.96","+3.15","TMO","+9.55","TMO","UNK","TMO","TMO","UNK","TMO"
"SWV041+1","+1.67","+0.47","+0.42","+0.56","+1.27","+0.43","+3.06","+0.95","+1.31","+1.96","+8.64","+62.56","+76.72","TMO","TMO","UNK","GUP"
"KRS196+1","+1.84","+0.42","+0.50","+0.63","+1.25","+0.37","+10.26","+0.79","+0.41","+0.48","+6.94","UNK","+0.38","+0.98","+0.90","UNK","+3.77"
"CSR117+1","+1.28","+0.48","+0.46","+0.51","+3.27","+0.41","+6.10","+1.14","TMO","UNK","TMO","+3.78","GUP","TMO","TMO","UNK","GUP"
"KRS261+1","+1.48","+0.47","+0.42","+0.49","+1.29","+0.76","TMO","+11.86","+1.58","TMO","TMO","+92.10","UNK","+168.30","TMO","UNK","TMO"
"SEV678+1*","+2.72","+1.11","+1.02","+1.17","+2.23","+134.29","+9.45","+2.62","TMO","TMO","TMO","+1.03","+18.19","TMO","TMO","UNK","GUP"
"CSR116+19","+1.71","+0.75","+0.94","+1.31","+81.27","+21.17","+9.59","+11.68","+1.03","TMO","GUP","UNK","TMO","TMO","TMO","UNK","TMO"
"SEV606+1*","+1.93","+0.70","+0.60","+0.45","+2.04","+0.76","+9.32","+1.89","+87.75","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"CSR116+8","+1.77","+0.72","+0.93","+1.38","+63.77","+65.56","+9.27","+29.37","+1.26","TMO","GUP","TMO","TMO","TMO","TMO","UNK","TMO"
"SEV668+1*","+2.28","+0.62","+0.83","+0.92","+1.80","+0.91","+11.65","+1.74","+64.11","TMO","TMO","+1.03","UNK","TMO","TMO","UNK","GUP"
"LCL368+1","+4.05","+41.98","+3.97","+4.52","+34.53","+5.34","+10.50","+101.50","+0.96","TMO","+5.80","UNK","UNK","TMO","TMO","UNK","TMO"
"NUM292+1","+2.35","+0.61","+0.36","+0.50","+12.66","+2.57","+5.21","+2.32","+31.19","+25.81","+89.72","UNK","+0.57","+122.89","TMO","+155.64","GUP"
"NUN076+1","+1.97","+0.59","+0.52","+1.11","+1.72","+1.11","+2.80","+1.05","+1.27","+1.05","+1.84","+9.27","UNK","TMO","TMO","UNK","TMO"
"MGT005+1","+1.08","+0.50","+0.42","+0.48","+1.58","+0.56","+3.13","+1.19","+0.53","+0.92","+0.96","+5.72","UNK","TMO","TMO","UNK","GUP"
"LCL368+2","+3.39","+24.35","+34.51","+117.08","+147.24","+176.09","+39.28","UNK","+2.50","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWV452+1","+1.16","+0.49","+2.87","+3.87","+1.02","+0.77","TMO","+45.05","+3.23","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"CSR033+3","+2.11","+0.73","+0.78","+0.85","+1.70","+2.07","+8.59","+102.97","+0.43","TMO","+30.89","+12.85","+15.55","TMO","TMO","UNK","TMO"
"PUZ129+2","+1.30","+0.37","+0.41","+0.37","+1.23","+0.38","+10.30","+1.06","+0.35","+0.36","+1.07","+0.41","+0.38","+31.55","+8.95","+18.70","GUP"
"NUN062+1","+1.89","+0.42","+0.58","+0.54","+1.25","+0.42","+1.79","+1.06","+95.98","+46.92","+3.82","+0.44","UNK","+72.44","TMO","UNK","TMO"
"SWB017+1","+2.38","+0.43","+1.06","+0.80","+37.53","+0.71","+4.94","+0.80","+12.78","TMO","+4.05","+1.22","UNK","TMO","TMO","UNK","GUP"
"LCL648+1.010","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWW473+2","+1.22","+1.01","+0.65","+0.67","+6.61","+0.64","+6.02","+1.72","TMO","+109.79","+14.85","UNK","+1.84","+90.51","TMO","UNK","GUP"
"LCL373+2","+1.68","TMO","TMO","TMO","TMO","TMO","TMO","UNK","+5.58","+33.45","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWV454+1","+1.65","+0.47","+0.52","+0.73","+1.14","+0.78","+7.95","+1.91","+1.70","+0.98","+4.31","TMO","UNK","TMO","TMO","UNK","GUP"
"LCL369+2","+3.14","+134.95","TMO","TMO","TMO","TMO","TMO","UNK","+167.85","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"KLE170+1.002","+2.53","+0.55","+0.86","+0.94","+2.56","+2.32","TMO","UNK","+0.46","+0.60","+3.09","+33.71","UNK","TMO","TMO","UNK","GUP"
"NUN060+1","+1.38","+0.46","+0.43","+0.37","+1.55","+0.35","+2.79","+1.10","+0.37","+0.39","+2.09","+0.31","UNK","+114.21","TMO","UNK","TMO"
"SWX222+1*","+1.33","+0.41","+0.40","+0.48","+1.24","+0.36","+3.81","+0.74","+0.38","+0.40","+5.40","+0.52","+0.42","+117.65","+7.03","UNK","GUP"
"LCL982+1","+1.38","+0.61","+0.42","+0.55","+1.24","+0.44","+2.07","+1.03","+0.34","+0.39","+1.09","+0.34","UNK","+0.49","+45.93","UNK","TMO"
"GEO504+1","+1.54","+0.55","+0.71","+0.61","+1.19","+0.91","+5.77","+1.76","+2.31","+3.00","+3.94","UNK","UNK","TMO","TMO","UNK","GUP"
"NLP261+1","+22.94","+29.32","+21.48","+20.47","+22.54","TMO","GUP","TMO","+12.68","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO"
"SWW102+1","+2.23","+0.41","+0.43","+0.50","+2.52","+0.85","+7.10","+0.99","+1.25","+2.31","+79.48","+7.31","UNK","TMO","TMO","UNK","GUP"
"SYO525+1.018","+41.34","+1.09","+0.65","+135.45","TMO","+18.59","TMO","+28.21","TMO","UNK","GUP","UNK","GUP","TMO","TMO","UNK","+44.32"
"GEO343+1","+1.45","+0.46","+0.51","+0.95","+1.28","+0.37","TMO","+0.93","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LCL382+2","+1.84","+100.53","+59.26","+40.66","TMO","TMO","TMO","UNK","+4.63","+31.58","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWB073+1","+0.92","+0.49","+0.34","+0.49","+1.34","+1.23","+7.68","+1.20","UNK","UNK","TMO","UNK","+1.14","TMO","TMO","UNK","GUP"
"LCL370+1","+4.98","+69.19","+5.86","+3.79","+57.75","+15.34","+11.70","+87.76","+4.88","+4.70","+18.89","UNK","UNK","TMO","TMO","UNK","TMO"
"SET017+1","+1.66","+0.42","+0.41","+0.49","+1.42","+0.37","+18.72","+0.79","+0.80","+13.19","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUN085+1","+5.06","+3.97","+1.39","+1.71","+15.25","TMO","+6.98","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWV453+1","+1.52","+0.48","+4.43","+3.05","+1.72","+1.30","TMO","+24.04","+6.68","+51.24","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NLP262+1","+24.56","+21.02","+20.28","+28.24","+27.18","TMO","GUP","TMO","TMO","TMO","TMO","TMO","+175.66","TMO","UNK","UNK","TMO"
"SWV479+1","+1.88","+0.51","+6.01","+1.15","+2.25","+1.96","TMO","+2.36","+8.10","+1.36","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LCL369+1","+2.50","+41.30","+14.66","+8.58","+61.93","+4.36","TMO","UNK","+1.08","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWC012+1","+1.88","+0.50","+0.56","+0.49","+1.24","+0.36","+7.84","+0.61","UNK","UNK","+3.84","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL688+1.015","+4.68","+86.02","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWV202+1","+1.74","+0.60","+0.54","+0.55","+1.26","+0.54","+5.12","+3.74","+26.68","+23.48","TMO","UNK","UNK","+130.02","TMO","UNK","GUP"
"LCL374+1","+6.06","TMO","+11.74","+12.01","TMO","TMO","TMO","UNK","+72.36","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWV203+1","+1.64","+0.59","+0.53","+0.57","+1.33","+0.38","+4.82","+2.40","+32.12","+54.44","TMO","UNK","UNK","+130.00","TMO","UNK","GUP"
"CSR116+38","+2.40","+0.67","+0.93","+0.94","+56.60","+60.21","+14.39","+12.00","+0.94","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO"
"SWV473+1","+1.30","+0.46","+86.73","+4.86","+1.81","+11.89","TMO","+1.92","+11.29","TMO","+89.68","TMO","UNK","TMO","TMO","UNK","GUP"
"NUN066+1","+3.29","+0.46","+3.01","+72.93","+2.89","+1.39","+3.76","UNK","UNK","TMO","TMO","+0.45","UNK","+160.64","TMO","UNK","TMO"
"GEO526+1","+2.21","+0.75","+1.96","+2.23","+19.91","+2.62","TMO","+3.27","+7.46","+18.54","+152.61","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL390+2","+2.40","+63.11","+34.52","+11.33","+176.56","TMO","TMO","UNK","UNK","+52.02","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWB013+2","+2.55","+0.94","+0.56","+0.52","+15.11","+0.49","+5.85","+1.95","TMO","TMO","+9.48","+50.95","UNK","TMO","TMO","UNK","GUP"
"LCL375+1","+2.63","TMO","+10.86","+10.35","TMO","TMO","GUP","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWB053+1","+2.22","+0.44","+0.49","+0.50","+0.95","+0.72","+5.90","+0.92","UNK","TMO","TMO","UNK","+2.34","TMO","TMO","UNK","GUP"
"LCL382+1","+4.16","+46.41","+5.54","+2.48","TMO","+2.75","+10.53","UNK","+4.25","+5.65","+13.69","TMO","UNK","TMO","TMO","UNK","TMO"
"LCL901+1","+3.01","+0.88","+0.91","+0.68","+1.94","+1.20","+28.81","+2.38","+0.54","UNK","+6.19","+4.39","UNK","TMO","TMO","UNK","GUP"
"LCL372+2","+3.08","+75.03","TMO","TMO","TMO","TMO","TMO","UNK","+5.88","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"GEO331+1","+2.05","+0.52","+0.72","+0.59","+1.88","+0.54","+7.02","+1.69","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SYN986+1.004","+10.26","+4.97","TMO","+69.42","+5.47","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"REL021+1","+4.63","+21.41","TMO","TMO","+58.40","+173.50","TMO","UNK","TMO","TMO","+31.11","UNK","UNK","TMO","TMO","UNK","GUP"
"PRD001+1","+2.82","+1.68","+9.64","+5.17","+4.77","+14.90","TMO","UNK","TMO","TMO","GUP","UNK","UNK","TMO","TMO","UNK","TMO"
"GRP748+1","+3.36","+2.62","+0.48","+0.52","+5.84","+27.40","+43.52","+2.02","+1.50","+16.11","TMO","+124.59","+3.00","TMO","TMO","UNK","GUP"
"LCL650+1.010","+37.70","+25.47","TMO","TMO","+43.81","TMO","TMO","UNK","TMO","TMO","TMO","TMO","GUP","TMO","TMO","UNK","TMO"
"GRP655+3","+10.22","+25.19","+12.63","+5.15","TMO","TMO","TMO","UNK","+8.30","+35.52","+14.37","TMO","UNK","TMO","GUP","UNK","GUP"
