"problem","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"PUZ127^5","+9.35","+3.79","TMO","TMO","TMO","TMO"
"ITP223^1","+12.63","+15.73","+161.40","TMO","TMO","GUP"
"SEV106^5","+11.91","+57.45","+6.90","TMO","+11.92","TMO"
"NUM665^4","+9.97","+1.45","+17.89","TMO","TMO","GUP"
"SEU488^1","+1.14","+1.89","+17.65","TMO","TMO","GUP"
"SEV027^5","+37.33","+12.36","TMO","TMO","TMO","TMO"
"SET013^7","TMO","TMO","UNK","+1.48","TMO","TMO"
"SEV032^5","+59.68","+116.00","+12.68","TMO","TMO","TMO"
"ITP011^2","+7.25","+4.71","+114.49","+37.65","TMO","GUP"
"SEV198^5","TMO","TMO","+17.63","+2.71","TMO","TMO"
"ITP012^5","+105.25","+133.24","+18.71","+16.22","TMO","GUP"
"NUM826^5","+8.59","TMO","TMO","TMO","TMO","TMO"
"SEV102^5","TMO","TMO","TMO","TMO","TMO","TMO"
"ALG269^2","+0.75","TMO","+157.59","TMO","TMO","TMO"
"ALG269^3","+10.58","+3.07","+9.39","TMO","TMO","TMO"
"SEU689^1","TMO","+43.38","TMO","TMO","TMO","GUP"
"LCL941^5","+9.70","+10.59","+118.79","TMO","TMO","TMO"
"ITP015^5","TMO","TMO","+34.22","+15.13","TMO","GUP"
"ITP021^5","+93.32","+160.19","TMO","TMO","TMO","GUP"
"ITP242^3","TMO","TMO","TMO","+83.15","TMO","GUP"
"SEU600^1","TMO","+46.16","TMO","TMO","TMO","GUP"
"SEU656^1","TMO","TMO","TMO","+25.22","TMO","GUP"
"NUM700^4","TMO","TMO","TMO","+2.21","TMO","GUP"
"SEU912^5","+22.21","TMO","TMO","TMO","TMO","TMO"
"LCL692^1","TMO","+145.04","UNK","TMO","TMO","TMO"
"ITP271^3","+39.48","+23.71","+171.98","+167.85","TMO","GUP"
"ANA129^1","TMO","TMO","TMO","TMO","+40.40","GUP"
"NUM793^4","TMO","TMO","+77.60","TMO","TMO","GUP"
"SEV207^5","TMO","TMO","+29.76","+5.19","TMO","TMO"
